sub_material,target_count,download_count,target_met,download_path
glues -water based & solvents,19,19,TRUE,geelong-recycling-instructions/images/dropoff/glues -water based & solvents
gas bottles,19,19,TRUE,geelong-recycling-instructions/images/dropoff/gas bottles
fuels,19,19,TRUE,geelong-recycling-instructions/images/dropoff/fuels
floor-care products,19,19,TRUE,geelong-recycling-instructions/images/dropoff/floor-care products
flares,19,19,TRUE,geelong-recycling-instructions/images/dropoff/flares
fertiliser,19,19,TRUE,geelong-recycling-instructions/images/dropoff/fertiliser
bicycles,19,19,TRUE,geelong-recycling-instructions/images/dropoff/bicycles
drain cleaner,19,19,TRUE,geelong-recycling-instructions/images/dropoff/drain cleaner
disinfectants,19,19,TRUE,geelong-recycling-instructions/images/dropoff/disinfectants
coolant,19,19,TRUE,geelong-recycling-instructions/images/dropoff/coolant
cleaners - ammonia based,19,19,TRUE,geelong-recycling-instructions/images/dropoff/cleaners - ammonia based
car wax,19,19,TRUE,geelong-recycling-instructions/images/dropoff/car wax
car body filler,19,19,TRUE,geelong-recycling-instructions/images/dropoff/car body filler
brake-fluid,19,18,FALSE,geelong-recycling-instructions/images/dropoff/brake-fluid
asbestos,19,19,TRUE,geelong-recycling-instructions/images/dropoff/asbestos
anti-freeze,19,19,TRUE,geelong-recycling-instructions/images/dropoff/anti-freeze
acids,19,19,TRUE,geelong-recycling-instructions/images/dropoff/acids
pyrex ovenware,19,19,TRUE,geelong-recycling-instructions/images/dropoff/pyrex ovenware
crockery,19,19,TRUE,geelong-recycling-instructions/images/dropoff/crockery
ceramics,19,18,FALSE,geelong-recycling-instructions/images/dropoff/ceramics
nbn batteries,19,19,TRUE,geelong-recycling-instructions/images/dropoff/nbn batteries
photographic chemicals,19,19,TRUE,geelong-recycling-instructions/images/dropoff/photographic chemicals
pool chemicals,19,19,TRUE,geelong-recycling-instructions/images/dropoff/pool chemicals
rat poison,19,19,TRUE,geelong-recycling-instructions/images/dropoff/rat poison
solvents,19,19,TRUE,geelong-recycling-instructions/images/dropoff/solvents
tables,19,19,TRUE,geelong-recycling-instructions/images/dropoff/tables
mattresses,19,19,TRUE,geelong-recycling-instructions/images/dropoff/mattresses
furniture,19,19,TRUE,geelong-recycling-instructions/images/dropoff/furniture
beds,19,19,TRUE,geelong-recycling-instructions/images/dropoff/beds
vacuum cleaners,19,19,TRUE,geelong-recycling-instructions/images/dropoff/vacuum cleaners
televisions,19,19,TRUE,geelong-recycling-instructions/images/dropoff/televisions
steam mops,19,18,FALSE,geelong-recycling-instructions/images/dropoff/steam mops
car batteries,19,19,TRUE,geelong-recycling-instructions/images/dropoff/car batteries
scanners,19,19,TRUE,geelong-recycling-instructions/images/dropoff/scanners
sandwich presses,19,19,TRUE,geelong-recycling-instructions/images/dropoff/sandwich presses
radios,19,19,TRUE,geelong-recycling-instructions/images/dropoff/radios
printers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/printers
ice cream makers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/ice cream makers
head phones,19,18,FALSE,geelong-recycling-instructions/images/dropoff/head phones
hand mixers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/hand mixers
electrical wire and cables,19,19,TRUE,geelong-recycling-instructions/images/dropoff/electrical wire and cables
electric toy trains,19,19,TRUE,geelong-recycling-instructions/images/dropoff/electric toy trains
electric toothbrushes,19,19,TRUE,geelong-recycling-instructions/images/dropoff/electric toothbrushes
electric fryingpans,19,19,TRUE,geelong-recycling-instructions/images/dropoff/electric fryingpans
electric blankets,19,19,TRUE,geelong-recycling-instructions/images/dropoff/electric blankets
computer equipment,19,19,TRUE,geelong-recycling-instructions/images/dropoff/computer equipment
christmas fairy lights,19,19,TRUE,geelong-recycling-instructions/images/dropoff/christmas fairy lights
cameras,19,19,TRUE,geelong-recycling-instructions/images/dropoff/cameras
battery operated toys,19,19,TRUE,geelong-recycling-instructions/images/dropoff/battery operated toys
audio equipment,19,19,TRUE,geelong-recycling-instructions/images/dropoff/audio equipment
air fryers,19,19,TRUE,geelong-recycling-instructions/images/dropoff/air fryers
air conditioners,19,19,TRUE,geelong-recycling-instructions/images/dropoff/air conditioners
wood preservatives,19,19,TRUE,geelong-recycling-instructions/images/dropoff/wood preservatives
transmission fluid,19,19,TRUE,geelong-recycling-instructions/images/dropoff/transmission fluid
toothbrushes,19,19,TRUE,geelong-recycling-instructions/images/dropoff/toothbrushes
